iter	MAE	RMSE
146	30.54054873	38.01983962
147	30.5320439	38.00919927
148	30.52378624	37.99986699
149	30.51533525	37.98961119
150	30.50670038	37.97927039
151	30.49875996	37.9697089
152	30.49047497	37.95996082
153	30.48268989	37.95068149
154	30.47182175	37.93775618
155	30.46071951	37.92453629
156	30.45184462	37.9137174
157	30.44403987	37.90427689
158	30.43640051	37.89464895
159	30.42878882	37.88581501
160	30.42173329	37.87729385
161	30.41625629	37.87048365
162	30.40558985	37.85799351
163	30.39776222	37.84889813
164	30.38719857	37.83624113
165	30.37952191	37.82762783
166	30.37234677	37.8194128
167	30.36522178	37.81087323
168	30.3536508	37.79831873
169	30.34605849	37.78910592
170	30.33848178	37.78061753
171	30.33172596	37.77244786
172	30.32493289	37.76467573
173	30.31765344	37.756557
174	30.31054556	37.74811806
175	30.30409257	37.73958811
176	30.29616658	37.73000747
177	30.28896496	37.7212292
178	30.2830718	37.7139966
179	30.27632499	37.70619108
180	30.26856263	37.69794031
181	30.26198334	37.69023627
182	30.25478348	37.68177601
183	30.24698903	37.67252416
184	30.23793437	37.66178556
185	30.23133585	37.65358113
186	30.2256755	37.64662668
187	30.21958271	37.63932246
188	30.21360679	37.63197425
189	30.20797304	37.62537998
190	30.20210228	37.61848149
191	30.19506578	37.6097337
192	30.18949777	37.60250445
193	30.18493094	37.59663414
194	30.17903618	37.58961828
195	30.17281566	37.58239805
196	30.16708534	37.57621324
197	30.16144329	37.56973854
198	30.15640689	37.5637429
199	30.1518075	37.55776774
200	30.14596042	37.55054161
201	30.14118506	37.54488651
202	30.13540419	37.53829543
203	30.13017079	37.531881
204	30.12471779	37.52555662
205	30.11838156	37.51825195
206	30.11184217	37.51080502
207	30.10454245	37.50219153
208	30.09788929	37.49444492
209	30.09238209	37.48782675
210	30.08532538	37.48013796
211	30.07972368	37.47372079
212	30.07278224	37.46606344
213	30.06748414	37.45995042
214	30.06095559	37.452544
215	30.05562625	37.44587569
216	30.05078957	37.43983007
217	30.04586413	37.43363513
218	30.04097604	37.42786199
219	30.03542511	37.42212325
220	30.03039926	37.41592396
221	30.02547683	37.40980132
222	30.02115074	37.4043404
223	30.01561164	37.39822919
224	30.01069233	37.39256329
225	30.00586588	37.38708765
226	29.99996609	37.38061841
227	29.99484257	37.37431497
228	29.98755123	37.36561659
229	29.9828918	37.36034323
230	29.97810179	37.35537897
231	29.97453218	37.35037951
232	29.96947789	37.34376397
233	29.96490018	37.33804952
234	29.96050082	37.33215823
235	29.95548875	37.32568936
236	29.95040301	37.3195255
237	29.94595387	37.31414891
238	29.94240681	37.30933623
239	29.9355888	37.30194777
240	29.93130094	37.29712753
241	29.92696167	37.29220035
242	29.92321949	37.28742239
243	29.91919305	37.28289614
244	29.91481012	37.27758386
245	29.91058762	37.27321628
246	29.90704639	37.26866581
247	29.90241555	37.26324266
248	29.89847223	37.25809392
249	29.89469553	37.25384935
250	29.89115828	37.24937901
251	29.88639647	37.24413817
252	29.88140307	37.23800629
253	29.87767107	37.23366485
254	29.8732538	37.2287388
255	29.8690902	37.22375537
256	29.86553621	37.21970986
257	29.86140518	37.21474832
258	29.85618891	37.20890637
259	29.85082632	37.20266361
260	29.84707555	37.19806294
261	29.84328564	37.19385543
262	29.83882242	37.18870763
263	29.83474379	37.18314098
264	29.83084385	37.17792895
265	29.82608807	37.17236226
266	29.82232916	37.16773839
267	29.81850487	37.1628398
268	29.81490408	37.15818493
269	29.81110497	37.1536885
270	29.80777152	37.14965162
271	29.80391272	37.14503402
272	29.80079274	37.14145682
273	29.79664946	37.13672144
274	29.79296849	37.13190265
275	29.7898527	37.12820662
276	29.78747215	37.12481022
277	29.78388811	37.1198597
278	29.77973473	37.11453033
279	29.77649814	37.11035868
280	29.77223063	37.105323
281	29.76654916	37.09937047
282	29.76282626	37.09499103
283	29.75794454	37.08898736
284	29.75362774	37.0835522
285	29.74800306	37.07767018
286	29.74481069	37.07375753
287	29.74159489	37.0693469
288	29.73682231	37.06376979
289	29.73238565	37.05832696
290	29.72930119	37.05469355
291	29.72571296	37.05075977
292	29.72207567	37.04579436
293	29.71874598	37.04190826
294	29.71549545	37.03788678
295	29.71139271	37.03287455
296	29.70739057	37.02807255
297	29.70298388	37.02296084
298	29.69983557	37.01904929
299	29.69683504	37.01539889
300	29.69318989	37.01163983
301	29.68929652	37.00701816
302	29.68607065	37.0031135
303	29.68299577	36.99938198
304	29.67950221	36.99518865
305	29.67632283	36.99114155
306	29.67290678	36.98682136
307	29.66916814	36.98216579
308	29.6654672	36.97773283
309	29.66111791	36.97301786
310	29.6569909	36.96830614
311	29.65331061	36.96393129
312	29.64847088	36.95807799
313	29.64551198	36.95445836
314	29.64252363	36.95073864
315	29.63929422	36.946761
316	29.63586266	36.94235771
317	29.63274665	36.9388309
318	29.62966923	36.93555837
319	29.62641834	36.93165073
320	29.62396652	36.92859994
321	29.62064364	36.92458463
322	29.61736738	36.9204878
323	29.6148388	36.91729661
324	29.6122575	36.91409904
325	29.60760796	36.90928308
326	29.60201744	36.90299698
327	29.59861045	36.89940432
328	29.59543744	36.89577746
329	29.59297906	36.89263323
330	29.58944702	36.8884587
331	29.5860117	36.88459383
332	29.58297607	36.88113718
333	29.58015242	36.87787602
334	29.57690374	36.87385936
335	29.57447915	36.87098509
336	29.57190566	36.86803763
337	29.56888539	36.86425737
338	29.56594297	36.86071091
339	29.56227304	36.8563571
340	29.55948114	36.85286931
341	29.55711633	36.84979714
342	29.55442786	36.84667065
343	29.55203898	36.84351647
344	29.54916191	36.84020118
345	29.54639556	36.83695181
346	29.54388774	36.83390242
347	29.53984955	36.82919704
348	29.53752088	36.82567759
349	29.53486594	36.82249602
350	29.53166568	36.81803722
351	29.52943675	36.8153523
352	29.52693219	36.8120052
353	29.5241737	36.80904396
354	29.52087839	36.80522527
355	29.5176552	36.80198477
356	29.51466044	36.79859179
357	29.51119484	36.79462599
358	29.50877122	36.79160006
359	29.50447953	36.7868842
360	29.50193001	36.78373282
361	29.49881688	36.78019159
362	29.49612838	36.77666625
363	29.4931732	36.77344753
364	29.49058302	36.77038361
365	29.48820384	36.76743137
366	29.48382828	36.76216729
367	29.48111978	36.75884641
368	29.47815559	36.75535927
369	29.47513298	36.75152702
370	29.47175588	36.74762119
371	29.46911959	36.74426326
372	29.46640807	36.74107693
373	29.4633463	36.73767586
374	29.45966486	36.73362756
375	29.45745207	36.73088849
376	29.45495738	36.72780682
377	29.45259927	36.72458857
378	29.44888393	36.719954
379	29.44567644	36.71618208
380	29.44306256	36.71295565
381	29.44062969	36.70985223
382	29.43843613	36.70679754
383	29.43589185	36.70370974
384	29.43365918	36.70077294
385	29.43180401	36.69813437
386	29.42850572	36.69407224
387	29.42550975	36.69046207
388	29.42297242	36.68758075
389	29.41979046	36.68417788
390	29.4172688	36.68104805
391	29.414309	36.67756715
392	29.41223486	36.67475232
393	29.41003595	36.67200727
394	29.4073069	36.6691616
395	29.40429869	36.6661541
396	29.40154054	36.66319826
397	29.39930689	36.6602844
398	29.3965179	36.6568361
399	29.39364142	36.6532193
400	29.39084929	36.64958002
401	29.38799719	36.64599639
402	29.38584411	36.64332196
403	29.38377563	36.64082628
404	29.38168876	36.63833518
405	29.37940879	36.63523103
406	29.37639326	36.63170512
407	29.37407935	36.62882618
408	29.37165061	36.62623224
409	29.3681412	36.62178883
410	29.36506915	36.61866692
411	29.36256347	36.61582164
412	29.36028648	36.61295084
413	29.35834026	36.61052197
414	29.35469753	36.60593234
415	29.35242917	36.60344281
416	29.35034586	36.60055935
417	29.34677707	36.59640711
418	29.34432178	36.59364459
419	29.34182532	36.59048141
420	29.33962461	36.58802846
421	29.33724398	36.58508266
422	29.33462851	36.58240301
423	29.33215468	36.57942213
424	29.32988754	36.57647337
425	29.32774304	36.5737963
426	29.32548443	36.57090333
427	29.32219194	36.56685564
428	29.31888236	36.562723
429	29.31718291	36.56046507
430	29.31419209	36.55696043
431	29.31247888	36.55456834
432	29.31010332	36.55165925
433	29.30762896	36.54886315
434	29.30506072	36.54567288
435	29.30285498	36.54305706
436	29.299845	36.53987997
437	29.29660836	36.53651003
438	29.29411468	36.53316442
439	29.29204544	36.53056584
440	29.28972113	36.52750945
441	29.28753109	36.52514617
442	29.28521893	36.52232822
443	29.28265111	36.51939828
444	29.27973715	36.51562142
445	29.27763143	36.5134261
446	29.27465812	36.50987143
447	29.27229051	36.50710084
448	29.26976655	36.50386869
449	29.26689777	36.50019011
450	29.2645355	36.49705215
451	29.26192449	36.49401303
452	29.26011963	36.49192942
453	29.25812037	36.48973238
454	29.2557645	36.48672937
455	29.25415256	36.48467995
456	29.25154522	36.48168231
457	29.24910215	36.47835114
458	29.24707271	36.47538486
459	29.24513655	36.47316449
460	29.24322862	36.47073059
461	29.24032921	36.46754468
462	29.23783402	36.465038
463	29.23482252	36.46118068
464	29.23294718	36.45900244
465	29.23003935	36.45524827
466	29.22815384	36.45297933
467	29.22609243	36.45030468
468	29.22390398	36.4476341
469	29.22204816	36.44553229
470	29.21882657	36.44181473
471	29.21662633	36.43937904
472	29.21412412	36.4366887
473	29.2124542	36.43473432
474	29.21015737	36.43211847
475	29.20771254	36.42927428
476	29.20516673	36.42605967
477	29.20215364	36.42315516
478	29.2006297	36.42118566
479	29.19863973	36.41871528
480	29.19663885	36.41669972
481	29.19508019	36.41459169
482	29.19292008	36.41195456
483	29.19137217	36.40995724
484	29.18931787	36.40756774
485	29.18728226	36.40557139
486	29.1853907	36.40288393
487	29.18348007	36.40055494
488	29.18164287	36.39822417
489	29.17873861	36.39499879
490	29.17677764	36.39241336
491	29.17434022	36.38941625
492	29.17194526	36.38636263
493	29.16925951	36.38345059
494	29.16772676	36.38109347
495	29.16463856	36.37736546
496	29.16200728	36.37399894
497	29.15943014	36.37131826
498	29.15718187	36.36885604
499	29.15485127	36.36583238
500	29.15278475	36.36335828
501	29.15043669	36.36067738
502	29.14741758	36.35713823
503	29.14570901	36.35511761
504	29.1438828	36.35280319
505	29.14173806	36.3502677
506	29.13972343	36.347754
507	29.13845074	36.34606161
508	29.13682335	36.34427628
509	29.13466872	36.34163951
510	29.13209246	36.33856025
511	29.12988931	36.3357014
512	29.12692855	36.33201556
513	29.12472398	36.32922584
514	29.1226509	36.32691566
515	29.12006533	36.32392878
516	29.11833822	36.32197822
517	29.11641062	36.31972076
518	29.11494691	36.31772453
519	29.1123429	36.31477993
520	29.11081366	36.31283067
521	29.10893833	36.31034858
522	29.10672123	36.3074528
523	29.10451014	36.30448274
524	29.10281608	36.30266268
525	29.10134414	36.30070118
526	29.09992152	36.29901615
527	29.09820951	36.29680612
528	29.09652997	36.29512878
529	29.09436679	36.29282735
530	29.09233857	36.29063045
531	29.09043695	36.28823823
532	29.08866788	36.28603249
533	29.08697954	36.28375475
534	29.08439737	36.28086735
535	29.08225689	36.278287
536	29.07977834	36.27580791
537	29.07815069	36.27358931
538	29.07617569	36.27142148
539	29.07358522	36.26822374
540	29.07120296	36.26530369
541	29.06922361	36.26286437
542	29.06702962	36.2603295
543	29.06569608	36.25857807
544	29.06400586	36.25613801
545	29.06183567	36.25389548
546	29.06013199	36.25176661
547	29.05796557	36.24939633
548	29.05521608	36.24614576
549	29.05371416	36.24435686
550	29.0518025	36.24208192
551	29.04973905	36.23959127
552	29.04851705	36.23791956
553	29.04698748	36.23593037
554	29.04537731	36.23391926
555	29.0432061	36.23124358
556	29.04168799	36.22937616
557	29.03917114	36.22651194
558	29.03689483	36.22408518
559	29.03520879	36.22180582
560	29.03348015	36.21958357
561	29.03151946	36.21746084
562	29.02971813	36.21520637
563	29.02829948	36.21299724
564	29.02624521	36.21079645
565	29.02366198	36.2074912
566	29.02197558	36.20569371
567	29.02027982	36.20316054
568	29.01883249	36.20139407
569	29.01681906	36.19898628
570	29.01500902	36.19673663
571	29.01381858	36.19523021
572	29.01193606	36.19303537
573	29.00992956	36.19066046
574	29.00718866	36.18753622
575	29.00583488	36.1858151
576	29.00382206	36.18356202
577	29.00143403	36.18068351
578	28.99921901	36.17789902
579	28.99763689	36.17616698
580	28.99622134	36.17453685
581	28.99445869	36.17233824
582	28.99323866	36.1707774
583	28.99080003	36.16810145
584	28.98872185	36.16542517
585	28.98680944	36.16334202
586	28.9851637	36.16135714
587	28.9829416	36.15868102
588	28.98123574	36.15646096
589	28.98003275	36.15471769
590	28.97808321	36.15251912
591	28.97591509	36.14986011
592	28.97436391	36.14796647
593	28.97227023	36.14554184
594	28.97099966	36.144086
595	28.96956425	36.14237029
596	28.96777815	36.14054083
597	28.96653442	36.13909741
598	28.96500468	36.13737167
599	28.96375234	36.13588821
600	28.96236103	36.13441574
601	28.96084824	36.13245336
602	28.95933431	36.13066635
603	28.95767472	36.12850847
604	28.95565777	36.12652993
605	28.95397008	36.1244679
606	28.95269341	36.12306037
607	28.95120625	36.12109971
608	28.94994879	36.11937894
609	28.94840685	36.11742384
610	28.94663954	36.11533416
611	28.94540022	36.11387249
612	28.94400733	36.11232979
613	28.94209853	36.10986046
614	28.9404694	36.10786741
615	28.93899188	36.10617966
616	28.93758831	36.10436336
617	28.93597765	36.10213719
618	28.93420875	36.10014659
619	28.93257809	36.09836172
620	28.93045636	36.09581253
621	28.92853543	36.0936006
622	28.92710663	36.09198313
623	28.92444863	36.08848255
624	28.92318492	36.08703977
625	28.92115906	36.08454719
626	28.91872942	36.08148811
627	28.91753701	36.07996959
628	28.91602678	36.0781188
629	28.91455792	36.07650887
630	28.91300757	36.07475979
631	28.91137883	36.07291697
632	28.9097426	36.07103179
633	28.90859772	36.06941427
634	28.90653376	36.06725129
635	28.90457724	36.06512289
636	28.90313718	36.06343354
637	28.90125876	36.06134374
638	28.90028634	36.0599365
639	28.89871551	36.05794174
640	28.89749633	36.05646609
641	28.89615134	36.05486685
642	28.8935779	36.05177624
643	28.89139003	36.04920505
644	28.88989055	36.04737807
645	28.88862481	36.04571577
646	28.88690154	36.04398516
647	28.88551863	36.04205744
648	28.88369213	36.03976714
649	28.88204385	36.03782745
650	28.88055722	36.0361505
651	28.87899372	36.03407784
652	28.87739851	36.03201099
653	28.87605426	36.03020322
654	28.87494974	36.02875765
655	28.87382088	36.02744345
656	28.87251592	36.02602084
657	28.87120759	36.02436951
658	28.86962157	36.0225653
659	28.86810851	36.02084147
660	28.86705589	36.01944075
661	28.8659026	36.01807459
662	28.86435524	36.01631319
663	28.86279047	36.01457175
664	28.8616802	36.01306806
665	28.86052855	36.01149494
666	28.85904531	36.00983296
667	28.85749916	36.00785366
668	28.85537204	36.00539472
669	28.8537799	36.00325231
670	28.85222919	36.00106686
671	28.85033214	35.99898182
672	28.84880068	35.99718654
673	28.84681295	35.99491321
674	28.84461947	35.99222335
675	28.84365238	35.9910946
676	28.84159557	35.98860538
677	28.84010911	35.98664646
678	28.83839767	35.98487417
679	28.83723825	35.98325986
680	28.83550016	35.98128597
681	28.83400766	35.97939585
682	28.83239114	35.97744917
683	28.83061215	35.9754648
684	28.82906519	35.97388761
685	28.8273589	35.97219076
686	28.82593759	35.97062694
687	28.82428661	35.96842724
688	28.82309888	35.96693292
689	28.82190425	35.96536623
690	28.82057591	35.96375064
691	28.81950678	35.96242764
692	28.81777136	35.95999837
693	28.8164922	35.95843253
694	28.81499193	35.9565027
695	28.81326739	35.95418207
696	28.81227597	35.95292502
697	28.81064021	35.95099643
698	28.80947612	35.94953518
699	28.80839582	35.94810297
700	28.80692662	35.94625769
701	28.8054258	35.94467043
702	28.80382578	35.94289357
703	28.80252789	35.94130088
704	28.80117553	35.93981286
705	28.79995168	35.93821511
706	28.79881353	35.93685299
707	28.79778052	35.93536374
708	28.79623752	35.9333814
709	28.79488361	35.93136701
710	28.79386237	35.93012722
711	28.79231214	35.92816667
712	28.79052946	35.92631819
713	28.78870385	35.92409749
714	28.78748427	35.92231812
715	28.78640614	35.92073188
716	28.7844845	35.91855602
717	28.78348997	35.91745158
718	28.78187108	35.9156706
719	28.78062099	35.91422161
720	28.77980325	35.91317506
721	28.77833549	35.91149291
722	28.77697607	35.90983373
723	28.77559289	35.90795385
724	28.77443524	35.90638299
725	28.77261144	35.90437068
726	28.77053085	35.90223894
727	28.76877719	35.90012038
728	28.7669433	35.89824771
729	28.76565166	35.89670454
730	28.76467412	35.89550982
731	28.76345447	35.89386609
732	28.76219465	35.89224122
733	28.76064191	35.89049594
734	28.75936755	35.88883244
735	28.75831469	35.88745975
736	28.75653352	35.88531903
737	28.75547184	35.88429838
738	28.75362291	35.88262232
739	28.75222229	35.88079135
740	28.75101107	35.87943037
741	28.74971956	35.87803288
742	28.74842293	35.87659414
743	28.74685639	35.87464733
744	28.74445362	35.87208599
745	28.74307566	35.87066361
746	28.74195501	35.86921839
747	28.74058146	35.86754485
748	28.73965933	35.86633467
749	28.73842314	35.86467094
750	28.73611181	35.86202806
751	28.73484361	35.86030637
752	28.73325764	35.85860843
753	28.73172984	35.85664515
754	28.73076296	35.85541394
755	28.72978689	35.85417369
756	28.72830572	35.8521858
757	28.72701361	35.85063034
758	28.72603042	35.84948789
759	28.72492767	35.84813731
760	28.72405446	35.84673703
761	28.72292801	35.84543923
762	28.7218474	35.84402261
763	28.72076828	35.84265963
764	28.71949689	35.84106521
765	28.71838092	35.83973856
766	28.71671195	35.83805199
767	28.71541704	35.83619452
768	28.71422376	35.83449407
769	28.71326499	35.83337663
770	28.71200908	35.83193726
771	28.71100991	35.83062011
772	28.70924103	35.82850458
773	28.70797416	35.82695101
774	28.70626244	35.8252193
775	28.70543981	35.82402442
776	28.70417688	35.82246791
777	28.70308048	35.82099916
778	28.70155462	35.81918898
779	28.70020213	35.81747885
780	28.6986881	35.81547946
781	28.69742935	35.81405899
782	28.69590906	35.81225413
783	28.6945006	35.81065042
784	28.69313766	35.80914918
785	28.6917874	35.80759468
786	28.69079756	35.80624821
787	28.68975909	35.80488096
788	28.68872897	35.80369945
789	28.68751933	35.80233767
790	28.68643595	35.80083322
791	28.68563371	35.79982386
792	28.68427128	35.79842343
793	28.68249426	35.79596681
794	28.68126472	35.79457766
795	28.68040064	35.79345533
796	28.67913675	35.79194999
797	28.67805177	35.79052772
798	28.67694628	35.78930066
799	28.67562081	35.78787935
800	28.67371831	35.785771
801	28.67234568	35.78422062
802	28.67100709	35.78255737
803	28.6693753	35.78063467
804	28.66824156	35.77912162
805	28.66683183	35.77755326
806	28.66574754	35.77611006
807	28.66471465	35.77442497
808	28.66351315	35.77308406
809	28.66235474	35.77166766
810	28.66084522	35.76954349
811	28.65945976	35.76755028
812	28.65769656	35.76555048
813	28.6567763	35.76423487
814	28.65513589	35.76247628
815	28.65332683	35.76027506
816	28.65231478	35.75914376
817	28.65104282	35.75757111
818	28.65004251	35.75627025
819	28.64914386	35.75499394
820	28.64787807	35.75347658
821	28.64674992	35.75228284
822	28.64580426	35.75098227
823	28.64405599	35.74875241
824	28.64233133	35.7469171
825	28.64127182	35.74558511
826	28.64037559	35.74454054
827	28.63884585	35.74246305
828	28.63715828	35.74055496
829	28.63584633	35.73890549
830	28.63465135	35.73776651
831	28.63326104	35.73633975
832	28.63213715	35.73473913
833	28.63094791	35.73313946
834	28.62979448	35.73170202
835	28.6282691	35.72965395
836	28.62711218	35.72819764
837	28.6263785	35.72712769
838	28.62533574	35.72577183
839	28.62381997	35.72384716
840	28.62298506	35.72267408
841	28.621836	35.72111013
842	28.62065286	35.71965743
843	28.6190364	35.71767257
844	28.61800481	35.71650647
845	28.61728209	35.71547454
846	28.61622271	35.71405297
847	28.61465046	35.71243407
848	28.61313276	35.71068138
849	28.61182316	35.70908439
850	28.6106413	35.70794351
851	28.6098207	35.70688199
852	28.60835936	35.70515511
853	28.60729612	35.70390166
854	28.60646754	35.70279059
855	28.60502459	35.70129833
856	28.60416644	35.70025793
857	28.60319709	35.69905915
858	28.60201739	35.69778276
859	28.60079797	35.69656912
860	28.59940246	35.6950015
861	28.59813167	35.69311437
862	28.59666249	35.69138368
863	28.59599654	35.69046178
864	28.59496608	35.68913226
865	28.59350643	35.6873196
866	28.5926347	35.68606843
867	28.59163706	35.68488311
868	28.59070782	35.68370386
869	28.58990995	35.68284635
870	28.58831583	35.68123976
871	28.5867876	35.67943092
872	28.58606961	35.67841662
873	28.58459188	35.67643271
874	28.58326021	35.67475499
875	28.5817903	35.67309736
876	28.58062523	35.67175481
877	28.57931378	35.67018475
878	28.5783286	35.66897119
879	28.57705562	35.66729404
880	28.57599859	35.66597784
881	28.57515097	35.66487787
882	28.57394671	35.66333815
883	28.57268894	35.66188839
884	28.57150932	35.66036245
885	28.5704078	35.65917911
886	28.5692785	35.65783402
887	28.56816944	35.65653257
888	28.56723143	35.65535688
889	28.56608679	35.6540773
890	28.56520758	35.65283331
891	28.56407081	35.65150284
892	28.5630754	35.65021917
893	28.56223839	35.64908876
894	28.56127088	35.64763627
895	28.56003661	35.6463165
896	28.55863929	35.64458528
897	28.55771667	35.64345431
898	28.55663238	35.64219065
899	28.55579277	35.64100014
900	28.55477187	35.6396513
901	28.55328145	35.63781197
902	28.55206511	35.63656373
903	28.55115731	35.63550665
904	28.55000972	35.63406035
905	28.54918958	35.63308671
906	28.54844623	35.63207291
907	28.54749246	35.63104139
908	28.5463229	35.62948419
909	28.54473536	35.62732744
910	28.54391565	35.62626223
911	28.54267944	35.62482709
912	28.54170503	35.62380285
913	28.54046816	35.62247981
914	28.53933297	35.62139729
915	28.53840364	35.62031542
916	28.53706361	35.61873648
917	28.53583091	35.6171106
918	28.53505383	35.61612367
919	28.53411082	35.61497505
920	28.53328753	35.61403514
921	28.53221888	35.61268868
922	28.53115178	35.61155625
923	28.53006314	35.61018929
924	28.52910391	35.60899829
925	28.52729404	35.606986
926	28.52595272	35.60563863
927	28.52503615	35.60457307
928	28.52415065	35.60336259
929	28.52288479	35.60203731
930	28.52180475	35.60080218
931	28.52071454	35.59954624
932	28.51997655	35.59876155
933	28.51912763	35.59768927
934	28.51822297	35.59659371
935	28.51712118	35.59518912
936	28.51627571	35.59413242
937	28.51517964	35.59293945
938	28.51423237	35.59161673
939	28.51319036	35.59040275
940	28.51188305	35.5888209
941	28.51087712	35.58777439
942	28.51032833	35.58697137
943	28.50895623	35.58508556
944	28.50791596	35.58374028
945	28.50708437	35.58259509
946	28.50568261	35.58112011
947	28.50484221	35.58009083
948	28.5039269	35.57891724
949	28.50279522	35.57765608
950	28.50158031	35.57593962
951	28.50022892	35.57445598
952	28.49907623	35.57297762
953	28.49744968	35.57089649
954	28.49638186	35.56966401
955	28.49540216	35.56848521
956	28.49425313	35.56701034
957	28.49342519	35.56596587
958	28.4924522	35.56489067
959	28.49162307	35.56373523
960	28.49079839	35.56245066
961	28.48913391	35.56074138
962	28.48812737	35.55944866
963	28.48710573	35.55807678
964	28.48591867	35.55675474
965	28.48483151	35.55556079
966	28.48382531	35.55426327
967	28.482695	35.55244849
968	28.48139987	35.55076845
969	28.48029999	35.54958286
970	28.4794097	35.54845223
971	28.47795996	35.54683806
972	28.47699973	35.54543459
973	28.47597315	35.54419139
974	28.47486759	35.54284158
975	28.47371254	35.54142595
976	28.47210009	35.53926487
977	28.47083146	35.53758533
978	28.46979813	35.53663158
979	28.46853506	35.53523917
980	28.46751768	35.53404316
981	28.4664756	35.53297822
982	28.46569932	35.53202444
983	28.46438035	35.53037258
984	28.46360294	35.52934297
985	28.46275453	35.52823334
986	28.46154199	35.5267215
987	28.46047318	35.52545262
988	28.45909566	35.52340199
989	28.45818255	35.52244757
990	28.45689409	35.52101806
991	28.4557886	35.51988804
992	28.4549953	35.5187001
993	28.45418874	35.51788227
994	28.45327773	35.51672687
995	28.4525104	35.51570873
996	28.45171626	35.51478452
997	28.45099474	35.51365885
998	28.44999351	35.51263399
