iter	Passed	Remaining
410	3934	5638
411	3943	5628
412	3952	5618
413	3961	5606
414	3969	5595
415	3978	5585
416	3987	5574
417	3996	5564
418	4005	5553
419	4014	5544
420	4024	5534
421	4032	5523
422	4041	5513
423	4051	5503
424	4061	5494
425	4070	5484
426	4079	5473
427	4088	5464
428	4097	5453
429	4106	5443
430	4115	5433
431	4124	5423
432	4134	5413
433	4143	5403
434	4152	5392
435	4160	5382
436	4169	5372
437	4178	5361
438	4187	5351
439	4196	5340
440	4205	5330
441	4213	5319
442	4222	5308
443	4230	5298
444	4239	5287
445	4247	5276
446	4256	5265
447	4265	5255
448	4273	5244
449	4282	5234
450	4290	5223
451	4300	5214
452	4308	5203
453	4317	5192
454	4326	5181
455	4334	5171
456	4343	5160
457	4352	5150
458	4360	5139
459	4368	5128
460	4382	5123
461	4390	5112
462	4399	5102
463	4407	5091
464	4415	5080
465	4423	5069
466	4431	5058
467	4439	5047
468	4448	5036
469	4456	5025
470	4465	5015
471	4474	5005
472	4483	4995
473	4493	4986
474	4502	4976
475	4511	4966
476	4519	4955
477	4528	4945
478	4536	4934
479	4545	4924
480	4553	4913
481	4562	4903
482	4570	4892
483	4579	4882
484	4588	4871
485	4596	4861
486	4605	4851
487	4614	4841
488	4623	4831
489	4631	4820
490	4640	4810
491	4648	4799
492	4657	4790
493	4665	4779
494	4674	4769
495	4683	4759
496	4692	4748
497	4701	4739
498	4710	4728
499	4719	4719
500	4727	4709
501	4737	4700
502	4745	4689
503	4754	4678
504	4762	4668
505	4771	4658
506	4780	4648
507	4788	4637
508	4797	4627
509	4806	4617
510	4815	4608
511	4825	4599
512	4836	4591
513	4846	4582
514	4855	4572
515	4866	4564
516	4876	4555
517	4886	4546
518	4895	4537
519	4905	4527
520	4914	4518
521	4922	4507
522	4932	4498
523	4941	4488
524	4950	4478
525	4958	4468
526	4968	4459
527	4977	4449
528	4985	4439
529	4995	4430
530	5003	4419
531	5012	4409
532	5021	4400
533	5030	4390
534	5039	4380
535	5048	4370
536	5057	4360
537	5066	4350
538	5075	4340
539	5084	4330
540	5093	4321
541	5103	4312
542	5112	4303
543	5122	4293
544	5130	4283
545	5140	4273
546	5148	4264
547	5158	4254
548	5167	4245
549	5177	4236
550	5186	4226
551	5195	4216
552	5205	4207
553	5214	4197
554	5224	4188
555	5233	4179
556	5242	4169
557	5252	4160
558	5262	4151
559	5272	4142
560	5282	4133
561	5293	4125
562	5304	4117
563	5315	4108
564	5325	4099
565	5337	4092
566	5347	4084
567	5359	4076
568	5369	4067
569	5379	4058
570	5390	4050
571	5400	4040
572	5409	4031
573	5419	4022
574	5428	4012
575	5437	4002
576	5446	3993
577	5456	3984
578	5468	3976
579	5478	3966
580	5487	3957
581	5497	3948
582	5508	3940
583	5519	3931
584	5530	3923
585	5539	3913
586	5549	3904
587	5559	3895
588	5569	3886
589	5578	3876
590	5588	3867
591	5598	3858
592	5609	3850
593	5619	3840
594	5629	3831
595	5639	3822
596	5648	3812
597	5657	3803
598	5666	3793
599	5675	3783
600	5683	3773
601	5693	3763
602	5703	3755
603	5712	3745
604	5723	3736
605	5733	3727
606	5743	3718
607	5753	3709
608	5762	3699
609	5771	3690
610	5781	3680
611	5790	3671
612	5799	3661
613	5807	3651
614	5816	3641
615	5824	3630
616	5833	3620
617	5841	3610
618	5849	3600
619	5857	3590
620	5866	3580
621	5874	3570
622	5883	3560
623	5891	3549
624	5901	3540
625	5910	3531
626	5919	3521
627	5928	3511
628	5936	3501
629	5945	3491
630	5954	3481
631	5962	3472
632	5970	3461
633	5979	3451
634	5987	3441
635	5995	3431
636	6003	3420
637	6011	3410
638	6018	3400
639	6027	3390
640	6035	3380
641	6044	3370
642	6053	3360
643	6062	3351
644	6071	3341
645	6080	3332
646	6088	3321
647	6096	3311
648	6104	3301
649	6112	3291
650	6120	3281
651	6128	3271
652	6136	3260
653	6145	3251
654	6154	3241
655	6161	3231
656	6169	3220
657	6177	3210
658	6185	3200
659	6193	3190
660	6201	3180
661	6209	3170
662	6217	3160
663	6226	3150
664	6234	3140
665	6242	3130
666	6250	3120
667	6259	3110
668	6267	3101
669	6275	3090
670	6283	3080
671	6291	3070
672	6300	3061
673	6308	3051
674	6316	3041
675	6324	3031
676	6334	3022
677	6343	3012
678	6354	3003
679	6363	2994
680	6371	2984
681	6380	2974
682	6389	2965
683	6398	2955
684	6406	2946
685	6414	2936
686	6422	2926
687	6432	2917
688	6441	2907
689	6451	2898
690	6460	2888
691	6468	2879
692	6476	2869
693	6485	2859
694	6494	2850
695	6503	2840
696	6512	2831
697	6521	2821
698	6530	2812
699	6539	2802
700	6549	2793
701	6558	2784
702	6567	2774
703	6576	2765
704	6585	2755
705	6594	2745
706	6601	2735
707	6610	2726
708	6618	2716
709	6627	2706
710	6635	2696
711	6643	2687
712	6651	2677
713	6661	2668
714	6669	2658
715	6678	2649
716	6687	2639
717	6695	2629
718	6706	2620
719	6714	2611
720	6723	2601
721	6731	2591
722	6740	2582
723	6749	2573
724	6758	2563
725	6767	2554
726	6776	2544
727	6785	2535
728	6793	2525
729	6802	2515
730	6810	2506
731	6819	2496
732	6827	2487
733	6836	2477
734	6845	2468
735	6854	2458
736	6862	2448
737	6871	2439
738	6880	2429
739	6889	2420
740	6897	2410
741	6906	2401
742	6914	2391
743	6922	2382
744	6932	2372
745	6940	2363
746	6948	2353
747	6957	2343
748	6966	2334
749	6974	2324
750	6984	2315
751	6999	2308
752	7006	2298
753	7013	2288
754	7021	2278
755	7029	2268
756	7036	2258
757	7046	2249
758	7054	2239
759	7062	2230
760	7069	2220
761	7076	2210
762	7084	2200
763	7091	2190
764	7099	2180
765	7106	2171
766	7114	2161
767	7122	2151
768	7130	2141
769	7137	2132
770	7145	2122
771	7153	2112
772	7161	2102
773	7168	2093
774	7178	2083
775	7185	2074
776	7193	2064
777	7201	2054
778	7209	2045
779	7217	2035
780	7225	2026
781	7233	2016
782	7242	2007
783	7251	1997
784	7259	1988
785	7267	1978
786	7275	1968
787	7282	1959
788	7289	1949
789	7297	1939
790	7304	1929
791	7311	1920
792	7318	1910
793	7326	1900
794	7333	1891
795	7342	1881
796	7350	1872
797	7358	1862
798	7365	1852
799	7373	1843
800	7381	1833
801	7389	1824
802	7396	1814
803	7405	1805
804	7413	1795
805	7421	1786
806	7428	1776
807	7436	1767
808	7443	1757
809	7451	1747
810	7459	1738
811	7467	1728
812	7475	1719
813	7483	1709
814	7490	1700
815	7498	1690
816	7506	1681
817	7514	1671
818	7522	1662
819	7531	1653
820	7539	1643
821	7549	1634
822	7557	1625
823	7566	1616
824	7573	1606
825	7582	1597
826	7590	1587
827	7598	1578
828	7605	1568
829	7613	1559
830	7621	1550
831	7630	1540
832	7637	1531
833	7646	1521
834	7654	1512
835	7662	1503
836	7669	1493
837	7676	1484
838	7683	1474
839	7690	1464
840	7697	1455
841	7704	1445
842	7712	1436
843	7719	1426
844	7726	1417
845	7733	1407
846	7740	1398
847	7748	1388
848	7756	1379
849	7764	1370
850	7772	1360
851	7779	1351
852	7787	1342
853	7795	1332
854	7802	1323
855	7810	1313
856	7817	1304
857	7824	1295
858	7831	1285
859	7839	1276
860	7846	1266
861	7855	1257
862	7863	1248
863	7872	1239
864	7880	1229
865	7889	1220
866	7897	1211
867	7909	1202
868	7919	1193
869	7930	1185
870	7941	1176
871	7953	1167
872	7962	1158
873	7972	1149
874	7981	1140
875	7990	1131
876	7999	1121
877	8007	1112
878	8017	1103
879	8026	1094
880	8035	1085
881	8044	1076
882	8052	1067
883	8061	1057
884	8069	1048
885	8078	1039
886	8086	1030
887	8094	1020
888	8103	1011
889	8114	1002
890	8123	993
891	8133	984
892	8142	975
893	8150	966
894	8159	957
895	8168	948
896	8177	938
